Date,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA
2025-08-28,345.9800109863281,353.54998779296875,340.260009765625,350.9100036621094,67903200
2025-08-29,333.8699951171875,348.75,331.70001220703125,347.2300109863281,81145700
2025-09-02,329.3599853515625,333.3299865722656,325.6000061035156,328.2300109863281,58392000
2025-09-03,334.0899963378906,343.3299865722656,328.510009765625,335.20001220703125,88733300
2025-09-04,338.5299987792969,338.8900146484375,331.4800109863281,336.1499938964844,60711000
2025-09-05,350.8399963378906,355.8699951171875,344.67999267578125,348.0,108989800
2025-09-08,346.3999938964844,358.44000244140625,344.8399963378906,354.6400146484375,75208300
2025-09-09,346.9700012207031,350.7699890136719,343.82000732421875,348.44000244140625,53816000
2025-09-10,347.7900085449219,356.3299865722656,346.07000732421875,350.54998779296875,72121700
2025-09-11,368.80999755859375,368.989990234375,347.6000061035156,350.1700134277344,103756000
2025-09-12,395.94000244140625,396.69000244140625,370.239990234375,370.94000244140625,168156400
2025-09-15,410.0400085449219,425.70001220703125,402.42999267578125,423.1300048828125,163823700
2025-09-16,421.6199951171875,423.25,411.42999267578125,414.5,104285700
2025-09-17,425.8599853515625,428.30999755859375,409.6700134277344,415.75,106133500
2025-09-18,416.8500061035156,432.2200012207031,416.55999755859375,428.8699951171875,90454500
2025-09-19,426.07000732421875,429.4700012207031,421.7200012207031,421.82000732421875,93131000
2025-09-22,434.2099914550781,444.9800109863281,429.1300048828125,431.1099853515625,97108800
2025-09-23,425.8500061035156,440.9700012207031,423.7200012207031,439.8800048828125,83422700
2025-09-24,442.7900085449219,444.2099914550781,429.0299987792969,429.8299865722656,93133600
2025-09-25,423.3900146484375,435.3500061035156,419.0799865722656,435.239990234375,96746400
2025-09-26,440.3999938964844,440.4700012207031,421.0199890136719,428.29998779296875,101628200
2025-09-29,443.2099914550781,450.9800109863281,439.5,444.3500061035156,79491500
2025-09-30,444.7200012207031,445.0,433.1199951171875,441.5199890136719,74358000
2025-10-01,459.4599914550781,462.2900085449219,440.75,443.79998779296875,98122300
2025-10-02,436.0,470.75,435.57000732421875,470.5400085449219,137009000
2025-10-03,429.8299865722656,446.7699890136719,416.5799865722656,443.2900085449219,133188200
2025-10-06,453.25,453.54998779296875,436.69000244140625,440.75,85324900
2025-10-07,433.0899963378906,452.67999267578125,432.45001220703125,447.82000732421875,102296100
2025-10-08,438.69000244140625,441.3299865722656,425.2300109863281,437.57000732421875,71192100
2025-10-09,435.5400085449219,436.3500061035156,426.17999267578125,431.80999755859375,69149400
